INFO:root:The followings are train results:
INFO:root:Epoch: 0
INFO:root:Epoch: 0 | update_interval: 0.8601140975952148 s | rate: 5.399230003356934 | distortion(mse): 0.14906886219978333 | rd_loss: 10.16943359375
INFO:root:Epoch: 0 | update_interval: 0.5659097194671631 s | rate: 5.3928751945495605 | distortion(mse): 0.10417412966489792 | rd_loss: 8.726446151733398
INFO:root:Epoch: 0 | update_interval: 0.46846710840861 s | rate: 5.386385440826416 | distortion(mse): 0.084261454641819 | rd_loss: 8.082751274108887
INFO:root:Epoch: 0 | update_interval: 0.4198892831802368 s | rate: 5.379913806915283 | distortion(mse): 0.07278921455144882 | rd_loss: 7.709168434143066
INFO:root:Epoch: 0 | update_interval: 0.3907835102081299 s | rate: 5.373422622680664 | distortion(mse): 0.06471128016710281 | rd_loss: 7.4441819190979
INFO:root:Epoch: 0 | update_interval: 0.37145462036132815 s | rate: 5.366910457611084 | distortion(mse): 0.059883344918489456 | rd_loss: 7.283176422119141
INFO:root:Epoch: 0 | update_interval: 0.3575123514447893 s | rate: 5.360408782958984 | distortion(mse): 0.05570567026734352 | rd_loss: 7.142988204956055
INFO:root:Epoch: 0 | update_interval: 0.34715366959571836 s | rate: 5.353999614715576 | distortion(mse): 0.0527903214097023 | rd_loss: 7.043288707733154
INFO:root:Epoch: 0 | update_interval: 0.33951301044887966 s | rate: 5.347625732421875 | distortion(mse): 0.0496075265109539 | rd_loss: 6.935066223144531
INFO:root:Epoch: 0 | update_interval: 0.3332098197937012 s | rate: 5.341251850128174 | distortion(mse): 0.046660199761390686 | rd_loss: 6.834377765655518
INFO:root:Epoch: 0 | update_interval: 0.32798237367109817 s | rate: 5.334887981414795 | distortion(mse): 0.04427871108055115 | rd_loss: 6.751806259155273
INFO:root:Epoch: 0 | update_interval: 0.3238428751627604 s | rate: 5.328522205352783 | distortion(mse): 0.042041976004838943 | rd_loss: 6.673864364624023
INFO:root:Epoch: 0 | update_interval: 0.32010874014634355 s | rate: 5.322150707244873 | distortion(mse): 0.04007410630583763 | rd_loss: 6.604521751403809
INFO:root:Epoch: 0 | update_interval: 0.3169640404837472 s | rate: 5.315770149230957 | distortion(mse): 0.03835916891694069 | rd_loss: 6.5432634353637695
INFO:root:Epoch: 0 | update_interval: 0.3142361545562744 s | rate: 5.309381484985352 | distortion(mse): 0.03682827949523926 | rd_loss: 6.487886428833008
INFO:root:Epoch: 0 | update_interval: 0.3117267370223999 s | rate: 5.302985668182373 | distortion(mse): 0.03548448160290718 | rd_loss: 6.438488006591797
INFO:root:Epoch: 0 | update_interval: 0.30967340749852795 s | rate: 5.296586990356445 | distortion(mse): 0.0342872329056263 | rd_loss: 6.393778324127197
INFO:root:Epoch: 0 | update_interval: 0.30765408145056833 s | rate: 5.29018497467041 | distortion(mse): 0.03316444531083107 | rd_loss: 6.351447582244873
INFO:root:Epoch: 1
INFO:root:Epoch: 1 | update_interval: 0.32656379247966566 s | rate: 5.28377628326416 | distortion(mse): 0.03214216232299805 | rd_loss: 6.312325477600098
INFO:root:Epoch: 1 | update_interval: 0.32398751497268674 s | rate: 5.277381420135498 | distortion(mse): 0.031168030574917793 | rd_loss: 6.274757385253906
INFO:root:Epoch: 1 | update_interval: 0.3217341173262823 s | rate: 5.270997047424316 | distortion(mse): 0.030362527817487717 | rd_loss: 6.242597579956055
INFO:root:Epoch: 1 | update_interval: 0.31965172507546163 s | rate: 5.2646050453186035 | distortion(mse): 0.029567955061793327 | rd_loss: 6.210779666900635
INFO:root:Epoch: 1 | update_interval: 0.3176802344944166 s | rate: 5.258224010467529 | distortion(mse): 0.028812069445848465 | rd_loss: 6.180210113525391
INFO:root:Epoch: 1 | update_interval: 0.31587456266085306 s | rate: 5.251835346221924 | distortion(mse): 0.028126517310738564 | rd_loss: 6.151883602142334
INFO:root:Epoch: 1 | update_interval: 0.31424494552612303 s | rate: 5.245453357696533 | distortion(mse): 0.027530450373888016 | rd_loss: 6.126428127288818
INFO:root:Epoch: 1 | update_interval: 0.3126283205472506 s | rate: 5.239063739776611 | distortion(mse): 0.027000686153769493 | rd_loss: 6.103085994720459
INFO:root:Epoch: 1 | update_interval: 0.3111865803047463 s | rate: 5.232717037200928 | distortion(mse): 0.026528367772698402 | rd_loss: 6.081624984741211
INFO:root:Epoch: 1 | update_interval: 0.30988559212003436 s | rate: 5.226393699645996 | distortion(mse): 0.02607356756925583 | rd_loss: 6.06074857711792
INFO:root:Epoch: 1 | update_interval: 0.30865490189914047 s | rate: 5.2200846672058105 | distortion(mse): 0.025585642084479332 | rd_loss: 6.038825988769531
INFO:root:Epoch: 1 | update_interval: 0.30748230616251626 s | rate: 5.213777542114258 | distortion(mse): 0.025168703868985176 | rd_loss: 6.019176483154297
INFO:root:Epoch: 1 | update_interval: 0.30643688017322174 s | rate: 5.207477569580078 | distortion(mse): 0.02474137954413891 | rd_loss: 5.999202728271484
INFO:root:Epoch: 1 | update_interval: 0.30549198389053345 s | rate: 5.201174736022949 | distortion(mse): 0.02431335859000683 | rd_loss: 5.979203224182129
INFO:root:Epoch: 1 | update_interval: 0.3045621958645907 s | rate: 5.194875717163086 | distortion(mse): 0.023955123499035835 | rd_loss: 5.961440563201904
INFO:root:Epoch: 1 | update_interval: 0.3037245203466976 s | rate: 5.188582420349121 | distortion(mse): 0.023575536906719208 | rd_loss: 5.942999839782715
